Crossover Rate,Mutation Rate,Run,Time (s),Test Score
0.1,0.1,0,457.596478,-1434.9596170556717
0.1,0.1,1,447.002428,-769.5172268132751
0.1,0.1,2,394.861052,-1105.3724813932606
0.1,0.1,3,425.227713,-1500.1484157874916
0.1,0.1,4,452.853171,-1152.802321916751
0.1,0.2,0,501.287274,-555.763657424538
0.1,0.2,1,457.061433,-1057.4535915066845
0.1,0.2,2,411.064643,-924.8570253186792
0.1,0.2,3,447.262923,-986.7187159758769
0.1,0.2,4,569.285715,-79.79792133384615
0.1,0.3,0,384.782897,-830.621414889219
0.1,0.3,1,401.072429,-368.60921078505163
0.1,0.3,2,370.092663,-1140.0595779188848
0.1,0.3,3,436.521986,-561.7117322282772
0.1,0.3,4,533.374494,459.3215410945745
0.1,0.4,0,496.296302,-355.2036714029358
0.1,0.4,1,450.189917,-15.81362213225907
0.1,0.4,2,360.328344,-615.1100160972337
0.1,0.4,3,421.724325,-1127.9068964508429
0.1,0.4,4,315.100618,-319.21054113281167
0.1,0.5,0,703.754225,-812.0718861757574
0.1,0.5,1,447.022117,-178.87596457487615
0.1,0.5,2,351.930744,-1392.9648175424143
0.1,0.5,3,525.079102,-594.2906686677561
0.1,0.5,4,463.304844,-598.8632236375374
0.2,0.1,0,284.083009,-706.2657131303774
0.2,0.1,1,378.46432,-47.440648406588636
0.2,0.1,2,347.304748,-707.2350282993395
0.2,0.1,3,343.666707,-1354.3800925778592
0.2,0.1,4,370.842772,-264.92235143873796
0.2,0.2,0,305.703466,-1138.0281359629453
0.2,0.2,1,601.737234,454.16306562958135
0.2,0.2,2,371.635215,-766.165862234617
0.2,0.2,3,319.584193,-1020.0246759851167
0.2,0.2,4,326.884693,-1412.4264360039938
0.2,0.3,0,323.452231,-1102.9312037917184
0.2,0.3,1,329.690097,-813.5122963864476
0.2,0.3,2,357.467376,-1164.551973341032
0.2,0.3,3,356.189649,-243.43488507838964
0.2,0.3,4,303.182844,-1163.8408662354532
0.2,0.4,0,403.512924,850.2354108423804
0.2,0.4,1,413.150668,-805.5058962953187
0.2,0.4,2,324.411972,-1394.4027014291205
0.2,0.4,3,326.698762,-1391.9455949382436
0.2,0.4,4,352.058975,-837.6735608446705
0.2,0.5,0,404.313242,30.563138080890383
0.2,0.5,1,424.479864,-336.42896851219194
0.2,0.5,2,383.328179,-877.2041196242915
0.2,0.5,3,355.277986,-743.9548679943684
0.2,0.5,4,358.671386,-777.1952255393929
0.5,0.1,0,471.695385,-3389.1450089815417
0.5,0.1,1,289.05326,-389.3435438235084
0.5,0.1,2,318.213108,-287.5012127645651
0.5,0.1,3,424.526536,-902.6030954047887
0.5,0.1,4,516.188014,162.68678860043312
0.5,0.2,0,425.349999,-156.5598720725112
0.5,0.2,1,467.745764,-218.116522780472
0.5,0.2,2,352.553148,-901.1112903979072
0.5,0.2,3,338.246997,-1359.0946917933586
0.5,0.2,4,330.11284,-962.1872471562349
0.5,0.3,0,310.126018,-870.0721336641104
0.5,0.3,1,411.304783,-152.68623177161638
0.5,0.3,2,396.244677,-173.34342758799556
0.5,0.3,3,377.361315,-191.5327581003348
0.5,0.3,4,427.494524,-621.5085142510434
0.5,0.4,0,527.488774,115.54969461647511
0.5,0.4,1,356.023582,363.20055683810045
0.5,0.4,2,13978.115305,-1237.6553941115208
0.5,0.4,3,472.960399,-1562.3864151978307
0.5,0.4,4,707.921325,-1229.812816025116
0.5,0.5,0,455.50863,320.22491099604724
0.5,0.5,1,371.670592,-1278.9221702795978
0.5,0.5,2,327.159546,-1027.0055034036295
0.5,0.5,3,635.587283,-1294.06720002782
0.5,0.5,4,336.483411,-1550.4754863899866
0.7,0.1,0,385.07249,-817.2149745392398
0.7,0.1,1,298.622547,-1744.0234989962546
0.7,0.1,2,400.135465,-775.136663364464
0.7,0.1,3,321.394048,-1813.0943180229508
0.7,0.1,4,517.717394,-785.5981626777896
0.7,0.2,0,396.970107,-1283.5513975098288
0.7,0.2,1,430.274985,-1099.7848503880655
0.7,0.2,2,512.23874,-893.9962609820369
0.7,0.2,3,391.954455,-1381.6054356874147
0.7,0.2,4,412.943265,71.80217645665444
0.7,0.3,0,451.175017,321.90964658702245
0.7,0.3,1,428.99922,-720.8188892209171
0.7,0.3,2,493.740036,-559.2387357784686
0.7,0.3,3,462.03791,-1301.4586152211446
0.7,0.3,4,424.958064,-1084.2246075240635
0.7,0.4,0,532.511471,-552.093775097242
