Population Size,Run #,Time (seconds),Test Score
16,1,36.406457,-1237.0779886310086
16,2,33.574933,-1018.8592367810476
16,3,32.664552,-1390.403432210922
16,4,34.459185,-1368.0532984116976
16,5,33.89882,-1391.2270117856747
16,6,35.058349,-1391.9455949382436
16,7,34.062782,-1005.3629784179864
16,8,32.708378,-1389.2207438308233
16,9,33.712623,-1752.0175139597304
16,10,35.204901,-1125.0439217087514
32,1,85.481287,135.47323499933051
32,2,66.210533,-1368.834471612781
32,3,82.97666,-777.7504030053568
32,4,73.186436,-837.0659744599268
32,5,74.140886,-1142.9024451051123
32,6,73.362318,-1358.7139624298343
32,7,78.599221,-1708.8092263919389
32,8,66.587242,-804.6965167770444
32,9,74.386415,-439.74790119102147
32,10,68.135,-785.6998044477087
48,1,126.694876,-95.33119518172025
48,2,117.419204,-748.9195664616445
48,3,113.570561,-1246.5323037599173
48,4,121.650767,-834.9615542326393
48,5,179.158437,532.1686935833984
48,6,117.109989,-1380.9323078786083
48,7,115.113794,-1028.9432936945343
48,8,149.948666,-1465.039801874967
48,9,128.264473,-1053.485362269054
48,10,122.404085,-630.5054246795128
64,1,184.174843,-988.5819014665375
64,2,178.60664,-1389.6077785780767
64,3,205.829924,219.4974894767762
64,4,240.850231,-449.88933145795954
64,5,198.212061,-447.8802830979499
64,6,186.138201,-2030.0233660098822
64,7,179.368662,-510.54151875422235
64,8,185.963455,-1044.865775566463
64,9,182.9697,-954.2171153401222
64,10,186.798346,-636.0518188190828
96,1,347.284196,-968.3024934045216
96,2,341.948291,-1288.2300304115233
96,3,341.898795,-1412.3353886305952
96,4,327.007018,-780.6713739930167
96,5,329.218101,-149.22718238995566
96,6,299.956191,-702.0841849018159
96,7,359.154016,-755.8409547540869
96,8,468.951917,-262.024325318791
96,9,372.97836,-1357.418398703171
96,10,332.1258,-1096.5012722364372
